2014,2015,2016
57.7,60.3,61.7
59.2,60.8,59.9
60.3,57.0,59.4
61.2,60.4,61.2
65.7,,64.4
66.2,67.9,
59.7,60.0,60.6
61.4,57.8,63.2
64.7,64.9,64.4
57.2,57.2,57.3
57.3,58.2,57.8
60.7,56.6,58.8
59.9,63.0,61.6
64.0,63.9,66.4
62.4,62.4,63.4
60.5,62.1,60.9
57.9,60.0,60.9
62.1,63.6,63.8
62.9,60.9,65.3
61.6,63.5,63.6
65.1,61.8,64.5
58.7,59.3,59.5
58.8,60.3,61.2
57.9,57.5,61.0
62.4,64.2,63.3
57.5,59.7,60.7
59.5,61.1,60.9
62.5,62.5,63.2
58.3,58.6,61.9
58.1,62.2,63.3
62.7,62.9,63.3
64.5,65.1,66.4
57.2,58.5,60.0
,63.6,64.1
62.7,62.5,64.4
63.8,66.9,66.7
57.6,58.8,59.0
63.0,65.9,65.1
64.5,65.2,65.4
61.3,59.7,62.1
60.1,59.2,59.6
62.1,61.3,62.2
,,63.8
58.8,60.4,60.6
57.3,58.1,57.8
59.5,60.4,62.1
60.5,61.7,62.4
61.5,63.6,63.1
59.4,61.7,59.7
63.6,,64.1
58.1,60.2,58.6
61.2,59.1,60.2
61.3,60.8,61.0
61.4,60.4,63.3
63.1,63.9,66.6
57.6,56.0,57.6
61.0,62.0,62.3
60.3,59.2,60.6
63.0,64.4,64.6
,,64.4
62.0,64.6,64.4
57.6,59.6,58.6
60.7,58.8,59.4
59.4,59.0,60.3
63.7,65.9,66.4
62.8,63.2,66.2
61.7,62.1,60.3
64.0,61.7,64.2
60.8,60.5,62.7
64.3,65.9,64.5
61.5,62.2,61.1
60.5,60.6,62.6
58.3,59.1,59.2
60.8,62.5,62.8
60.2,61.5,62.5
63.7,64.8,65.0
61.4,62.1,62.5
59.9,58.6,59.4
65.7,65.6,65.6
64.7,63.6,65.1
62.6,,
62.4,61.3,61.8
59.0,59.9,59.5
60.0,60.9,61.4
60.5,59.5,61.7
61.9,,
62.1,62.5,60.2
63.8,64.9,64.9
63.0,63.1,63.9
61.8,61.2,62.6
61.9,62.5,60.7
63.4,64.4,
56.3,57.1,57.7
60.5,60.4,61.4
60.7,63.1,62.0
59.6,59.0,60.7
59.2,58.5,60.6
57.3,,
58.7,56.7,59.9
60.0,60.3,61.9
54.4,57.3,57.6
60.5,60.4,60.8
62.8,59.7,62.0
64.5,66.2,68.0
57.9,57.7,58.5
61.6,60.9,62.7
61.2,61.2,62.7
63.2,61.8,63.2
58.5,57.8,59.7
55.9,,61.9
