GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Dollar,Margin of Error
0100000US,,United States,0100000US,,United States,United States,64719,182
0100000US,,United States,0400000US01,01,United States - Alabama,Alabama,54362,349
0100000US,,United States,1600000US0100100,0100100,United States - Alabama - Abanda CDP,Abanda CDP,-,**
0100000US,,United States,1600000US0100124,0100124,United States - Alabama - Abbeville city,Abbeville city,41366,4928
0100000US,,United States,1600000US0100460,0100460,United States - Alabama - Adamsville city,Adamsville city,52917,11021
0100000US,,United States,1600000US0100484,0100484,United States - Alabama - Addison town,Addison town,41587,6316
0100000US,,United States,1600000US0100676,0100676,United States - Alabama - Akron town,Akron town,25909,5930
0100000US,,United States,1600000US0100820,0100820,United States - Alabama - Alabaster city,Alabaster city,78906,4186
0100000US,,United States,1600000US0100988,0100988,United States - Alabama - Albertville city,Albertville city,44032,5036
0100000US,,United States,1600000US0101132,0101132,United States - Alabama - Alexander City city,Alexander City city,39894,6269
0100000US,,United States,1600000US0101180,0101180,United States - Alabama - Alexandria CDP,Alexandria CDP,59054,16238
0100000US,,United States,1600000US0101228,0101228,United States - Alabama - Aliceville city,Aliceville city,23667,5910
0100000US,,United States,1600000US0101396,0101396,United States - Alabama - Allgood town,Allgood town,42105,8765
0100000US,,United States,1600000US0101660,0101660,United States - Alabama - Altoona town,Altoona town,37955,7291
0100000US,,United States,1600000US0101708,0101708,United States - Alabama - Andalusia city,Andalusia city,38688,4937
0100000US,,United States,1600000US0101756,0101756,United States - Alabama - Anderson town,Anderson town,48438,6510
0100000US,,United States,1600000US0101852,0101852,United States - Alabama - Anniston city,Anniston city,44754,4761
0100000US,,United States,1600000US0102116,0102116,United States - Alabama - Arab city,Arab city,59111,6094
0100000US,,United States,1600000US0102260,0102260,United States - Alabama - Ardmore town,Ardmore town,40260,3711
0100000US,,United States,1600000US0102320,0102320,United States - Alabama - Argo town,Argo town,57961,23409
0100000US,,United States,1600000US0102428,0102428,United States - Alabama - Ariton town,Ariton town,41250,12077
0100000US,,United States,1600000US0102500,0102500,United States - Alabama - Arley town,Arley town,36250,28403
0100000US,,United States,1600000US0102836,0102836,United States - Alabama - Ashford town,Ashford town,55000,13216
0100000US,,United States,1600000US0102860,0102860,United States - Alabama - Ashland town,Ashland town,43359,7171
0100000US,,United States,1600000US0102908,0102908,United States - Alabama - Ashville city,Ashville city,38636,11672
0100000US,,United States,1600000US0102956,0102956,United States - Alabama - Athens city,Athens city,57767,3836
0100000US,,United States,1600000US0103004,0103004,United States - Alabama - Atmore city,Atmore city,36477,13272
0100000US,,United States,1600000US0103028,0103028,United States - Alabama - Attalla city,Attalla city,38457,8005
0100000US,,United States,1600000US0103076,0103076,United States - Alabama - Auburn city,Auburn city,78905,6309
0100000US,,United States,1600000US0103220,0103220,United States - Alabama - Autaugaville town,Autaugaville town,51071,18007
0100000US,,United States,1600000US0103364,0103364,United States - Alabama - Avon town,Avon town,45417,26470
0100000US,,United States,1600000US0103508,0103508,United States - Alabama - Axis CDP,Axis CDP,48750,40717
0100000US,,United States,1600000US0103556,0103556,United States - Alabama - Babbie town,Babbie town,54141,10472
0100000US,,United States,1600000US0103676,0103676,United States - Alabama - Baileyton town,Baileyton town,46563,11208
0100000US,,United States,1600000US0103724,0103724,United States - Alabama - Bakerhill town,Bakerhill town,42813,15041
0100000US,,United States,1600000US0103820,0103820,United States - Alabama - Ballplay CDP,Ballplay CDP,29412,46285
0100000US,,United States,1600000US0103940,0103940,United States - Alabama - Banks town,Banks town,49231,17209
0100000US,,United States,1600000US0104660,0104660,United States - Alabama - Bay Minette city,Bay Minette city,46078,5796
0100000US,,United States,1600000US0104684,0104684,United States - Alabama - Bayou La Batre city,Bayou La Batre city,38906,12988
0100000US,,United States,1600000US0104852,0104852,United States - Alabama - Bear Creek town,Bear Creek town,35385,11984
0100000US,,United States,1600000US0104900,0104900,United States - Alabama - Beatrice town,Beatrice town,26875,11589
0100000US,,United States,1600000US0104948,0104948,United States - Alabama - Beaverton town,Beaverton town,48125,17350
0100000US,,United States,1600000US0105140,0105140,United States - Alabama - Belgreen CDP,Belgreen CDP,46786,59038
0100000US,,United States,1600000US0105164,0105164,United States - Alabama - Belk town,Belk town,35938,23949
0100000US,,United States,1600000US0105188,0105188,United States - Alabama - Bellamy CDP,Bellamy CDP,22455,75002
